name,feedback
James,The delivery was extremely bad.
Maria,The delivery was extremely terrible.
Robert,The service was amazing.
Linda,"Honestly, the quality is terrible."
Michael,The product arrived on time.
Sarah,It is what I expected.
David,"Everything was excellent, thank you!"
Jennifer,The service was the slow I've seen.
William,"Honestly, the quality is poor."
Elizabeth,I have been using it for a week.
John,I have been using it for a week.
Jessica,"Everything was excellent, thank you!"
Joseph,Standard delivery service.
Karen,The service was the slow I've seen.
Thomas,Standard delivery service.
Nancy,"Honestly, the quality is bad."
Charles,The product arrived on time.
Lisa,The product arrived on time.
Christopher,The service was excellent.
Margaret,I had an excellent experience.
